1,2,3,4,5,6,7,8,9,10,11,12,legs_0,legs_2,legs_4,legs_5,legs_6,legs_8,14,15,16,17
0,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,2
1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1
0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,3
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6
1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1
1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1
1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1
0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,4
0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,2
1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1
0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,5
0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7
0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,4
1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1
1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1
0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,3
0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7
0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,3
0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,2
0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,4
1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,6
0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,2
0,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,2
0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,2
0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,3
0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,5
0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,2
0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,4
0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,3
0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1
1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1
0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7
1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1
1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1
0,0,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,4
0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6
0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7
0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,2
1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,1
0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,7
1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1
0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,2
0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,2
0,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,2
1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1
0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7
0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7
1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1
1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1
1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6
0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,4
1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1
0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,4
1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1
1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1
1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1
0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,4
0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,4
1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1
1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1
1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1
0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,5
0,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,2
1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1
1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1
0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7
1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1
1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1
1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1
1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6
0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,2
0,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,2
0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,2
1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1
0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,2
1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1
0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
